file_name,row,column,layer,ratio
R4.42.2007.jpeg,1156,780,3,1.482051282
R2.42.2016.jpeg,889,600,3,1.481666667
R2.14.2015.jpeg,1711,1200,3,1.425833333
R8.49.2016.jpeg,3000,2000,3,1.5
R1.4.2015.jpeg,3000,2000,3,1.5
R4.5.2010.jpeg,1500,1000,3,1.5
R6.113.2016.jpeg,3000,2000,3,1.5
R5.22.2015.jpeg,3000,2000,3,1.5
R8.60.2017.jpeg,3000,2000,3,1.5
R2.0.2009.jpeg,2100,1400,3,1.5
R9.6.2010.jpeg,1500,1000,3,1.5
R2.69.2017.jpeg,1500,1000,3,1.5
R5.33.2008.jpeg,1500,1000,3,1.5
R7.0.2007.jpeg,1500,1000,3,1.5
R7.81.2015.jpeg,2100,1400,3,1.5
R8.126.2016.jpeg,2100,1400,3,1.5
R6.66.2015.jpeg,1500,1000,3,1.5
R2.17.2014.jpeg,1080,719,3,1.502086231
R6.14.2006.jpeg,1500,1000,3,1.5
R4.14.2010.jpeg,1500,1000,3,1.5
R9.90.2017.jpeg,1500,1012,3,1.482213439
R6.8.2003.jpeg,1500,1000,3,1.5
R9.16.2003.jpeg,1500,1000,3,1.5
R7.90.2015.jpeg,2100,1400,3,1.5
R6.91.2017.jpeg,750,500,3,1.5
R8.22.2016.jpeg,1419,1000,3,1.419
R9.77.2015.jpeg,1186,800,3,1.4825
R8.101.2016.jpeg,1080,792,3,1.363636364
R0.105.2016.jpeg,750,500,3,1.5
R0.5.2007.jpeg,1200,810,3,1.481481481
R5.56.2016.jpeg,1425,950,3,1.5
R0.20.2015.jpeg,1500,1000,3,1.5
R1.84.2016.jpeg,1200,800,3,1.5
R1.9.2002.jpeg,864,580,3,1.489655172
R8.4.1999.jpeg,1200,800,3,1.5
R3.6.2013.jpeg,2400,1600,3,1.5
R2.61.2017.jpeg,591,411,3,1.437956204
R7.72.2017.jpeg,3000,2000,3,1.5
R5.22.2006.jpeg,1500,1000,3,1.5
R2.23.2003.jpeg,750,529,3,1.417769376
R8.7.2014.jpeg,2100,1400,3,1.5
R4.8.2012.jpeg,3000,2000,3,1.5
R8.3.2014.jpeg,2100,1400,3,1.5
R3.7.2014.jpeg,1500,1000,3,1.5
R2.22.2004.jpeg,870,580,3,1.5
R1.105.2016.jpeg,1389,1000,3,1.389
R1.16.2015.jpeg,1200,800,3,1.5
R0.19.2014.jpeg,800,600,3,1.333333333
